"src_street";"src_city";"src_province";"src_zip"
"8500 Leslie";"Toronto";"Ontario";"L3T7M8"
"128 Yonge St";"Tronto";"ON";"M5C1XX"
"25 Linden Str";"TORONNTO";;
"8500 Leslie street";"Marham";"Onntario";"L37"
"8500 Leslei street";"Toronto";"Ontsrio";"L3T 7M8"
"8500 Leslei st";"Totonto";"on";"L3T 7M8"
"128 St John St";"St John";"NB";
"20 St John Ave";"Oromocto";"NB";
"5867 Eagle Island";"Vancouver";"Britisch Columbia";"V7W1V5"
"57 Flohrence CR";"York";"ON";"M6N4E7"
"659 MORLIN STR";"NORTH BAY";"ON";"P1B5R8"
"213 EAST 2R5TH STR";"HAMILTON";"ON";"L8V3A4"
"128 YONGE STR";"TORONTO";"ON";"M5C1X3"
"8268 DODGWOOD STR";"MISSION";"BC";"V2V3R6"
"1221 QUEEANS AVNUE";"VICTORIA";"BC";"V8T1N1"
"44 SCENIMC PALCE NW";"CALGARY";"AB";"T3L1A5"
"447 WOPODSIDE ROD SW";"CALGARY";"AB";"T2W3J6"
"12223 FORXT ROAX NW";"EDMONTON";"AB";"T5B4H2"
"411 BLOQOR STRERT W";"OSHAWA";"ON";"L1J5Y5"
"60 THICHKSON ROAOAD S";"WHITBY";"ON";"L1N7T2"
"108 KINTG STRERT E";"STONEY CREEK";"ON";"L8G1K6"
"618 REVTELL SYND NW";"EDMONTON";"AB";"T6R2H9"
"283 PARKB STFEET S";"HAMILTON";"ON";"L8P3G5"
"2046 SIRWOCCO DVIRE SW";"CALGARY";"AB";"T3H2M8"
"15 MCDGILL STRETE S";"SMITHS FALLS";"ON";"K7A3M4"
"229 SPRUCEE STRET S";"TIMMINS";"ON";"P4N2M8"
"4508 BEEDIE";"BURNABY";"BC";"V5J5L2"
"1460 ESTHER-BLONDIN";"QUEBEC";"QC";"G1Y3N7"
"295 FATHER TOBIN";"BRAMPTON";"ON";"L6R0N2"
"273 RIVER";"SUNNY CORNER";"NB";"E9E1C9"
"3 JENNA";"EAST ST PAUL";"MB";"R2E0H8"
"221 NORMAND";"TERREBONNE";"QC";"J6Y1N1"
"2006 ARLINGTON";"SASKATOON";"SK";"S7J2H5"
"562 PLEASANT VALE";"ELGIN";"NB";"E4Z2C7"
"1453 KINGSLEA";"SUDBURY";"ON";"P3A3P6"
"22 DONAIS";"SAINT-JEAN-SUR-RICHELIEU";"QC";"J2W2J8"
"3154 4TH W";"VANCOUVER";"BC";
"508 GEORGE S";"PETERBOROUGH";"ON";
"1754 BULLIVANT SW";"MEDICINE HAT";"AB";
"1146 PRICE O";"ALMA";"QC";
"394 ANNE N";"BARRIE";"ON";
"340 MARY W";"LINDSAY";"ON";
"249 RED CROW W";"LETHBRIDGE";"AB";
"71 SNOWDON SW";"CALGARY";"AB";
"93 SINCLAIR SW";"CALGARY";"AB";
"36 SASKATCHEWAN E";"PORTAGE LA PRAIRIE";"MB";
"678 21ST W";"PRINCE ALBERT";"SK";
"35 8TH SE";"DAUPHIN";"MB";
"4 GOVERNMENT W";"KIRKLAND LAKE";"ON";
"925 SPRUCE STR";"WINNIPEG";"MB";"R3G2Z8"
"7308 21E AVN";"LAVAL";"QC";"H7R3G8"
"305 CONLEY STR";"THORNHILL";"ON";"L4J2Z3"
"11870 BLAIR STR";"WINDSOR";"ON";"N8P1T6"
"515 HELMSDALE AVNUE";"WINNIPEG";"MB";"R2K0W7"
"435 RICHMOND AVNUE";"VICTORIA";"BC";"V8S3Y3"
"306 LAHAVE STR";"BRIDGEWATER";"NS";"B4V2T7"
"1087 EBURNE PLAC";"RICHMOND";"BC";"V6V2Y7"
"171 FAUBERT DRV";"CHATHAM";"ON";"N7M2Y5"
"5 CLEGG STR";"OTTAWA";"ON";"K1S0H3"
"16552 EVELYN DRV";"LONDON";"ON";"N5V5C4"
"4874 PATRICKR PL";"BURNABY";"BC";"V5J3A6"
"1373 BOUL DES PEUPLMILERS";"SAINTE-MARIE";"QC";"G6E2E6"
"2464 RUE DECELLESK";"SAINT-LAURENT";"QC";"H4M1C4"
"37 BRIMRLEY CRES";"ST CATHARINES";"ON";"L2M7A8"
"375 BRAMNT ST";"WOODSTOCK";"ON";"N4S5H9"
"358 CH ST-AMLATEUR";"TRUDEL";"NB";"E8R1P2"
"6117 RUE DE EL'EVGLISE";"SHERBROOKE";"QC";"J1N3A2"
"111 WAYRREN RD";"WHITBY";"ON";"L1N2C4"
"1705 AV DYOLLARD";"LASALLE";"QC";"H8N1T7"
"30 GRENADIEPR DR";"HAMILTON";"ON";"L8T4C8"
"7 BISHOGP CRT";"BRAMPTON";"ON";"L6T2N4"
"50 RUE HANXNAH";"BEAUHARNOIS";"QC";"J6N1Y5"
"5 WEULLINGTON ST";"TILLSONBURG";"ON";"N4G2Z2"
"13017 ARGYLE AVE";"SURREY";"BC";"V3T5N3"
"32122 ROOSEVELT AVE";"ABBOTSFORD";"BC";"V2T1B7"
"166 PENNEY CLOSE";"LONDON";"ON";"N6G4B9"
"6745 AIRPORT HEIGHTS RD";"MISSISSAUGA";"ON";"L5N2L7"
"8010 AV ROSS";"MONTREAL";"QC";"H1E1M1"
"7643 MIDDLETON ST";"MISSION";"BC";"V2V3L2"
"7074 DEXTER ST";"NIAGARA FALLS";"ON";"L2J1M2"
"307 PRIM ST";"THUNDER BAY";"ON";"P7C2L1"
"3903 RUE SYDNEY";"TROIS-RIVIERES";"QC";"G8Y2A8"
"14 JERVIS ST";"SCARBOROUGH";"ON";"M1N2B9"
"16372 CAVELL AVE";"SURREY";"BC";"V4N0X3"
"836 RTE CARRICK";"SAINT-ETIENNE-DE-LAUZON";"QC";"G6J1Z1"
"2454 TORONTO AVE";"WINDSOR";"ON";"N8W4M5"
"12280 AV QUEBEC";"MONTREAL";"QC";"H1E1V9"
"96 MCKAENZIE PINES W";"CORNWALL";"ON";"K6K1J1"
"12 KIGNG MEWS W";"GANANOQUE";"ON";"K7G2E9"
"343 DANIEWL LOOP S";"ARNPRIOR";"ON";"K7S3K5"
"1613 RAIDISSON BLVD SE";"CALGARY";"AB";"T2A1Z7"
"52 ROSSLYMN BEND N";"HAMILTON";"ON";"L8L7P2"
"275 MICHENERW CAMPUS NW";"EDMONTON";"AB";"T6H4M5"
"7730 RIPVERSIDE FOREST E";"WINDSOR";"ON";"N8S1C9"
"191 CARREF DE ZCASTELNAUZ O";"MONTREAL";"QC";"H2R2W3"
"109 COLBOGRNE RIDGE W";"WHITBY";"ON";"L1N1W9"
